year,type_order,observed,ssa_projection,lower_bound,upper_bound,,,,,,,,,,,,
2011,1,76.43,75.9,75.8,76,,,,,,,,,,,,
2012,1,76.56,76.1,75.8,76.3,,,,,,,,,,,,
2013,1,76.57,76.2,75.9,76.5,,,,,,,,,,,,
2014,1,76.64,76.3,75.9,76.7,,,,,,,,,,,,
2015,1,76.48,76.5,76,77,,,,,,,,,,,,
2016,1,76.39,76.6,76,77.2,,,,,,,,,,,,
2017,1,76.35,76.7,76.1,77.4,,,,,,,,,,,,
2018,1,NA,76.8,76.1,77.6,,,,,,,,,,,,
2019,1,NA,77,76.2,77.8,,,,,,,,,,,,
2020,1,NA,77.1,76.2,78,,,,,,,,,,,,
2011,2,81.21,80.6,80.5,80.7,,,,,,,,,,,,
2012,2,81.33,80.7,80.5,80.8,,,,,,,,,,,,
2013,2,81.36,80.7,80.5,81,,,,,,,,,,,,
2014,2,81.45,80.8,80.5,81.2,,,,,,,,,,,,
2015,2,81.33,80.9,80.5,81.3,,,,,,,,,,,,
2016,2,81.39,81,80.5,81.5,,,,,,,,,,,,
2017,2,81.39,81.1,80.6,81.7,,,,,,,,,,,,
2018,2,NA,81.2,80.6,81.8,,,,,,,,,,,,
2019,2,NA,81.3,80.6,82,,,,,,,,,,,,
2020,2,NA,81.4,80.7,82.2,,,,,,,,,,,,
2011,3,17.97,17.7,17.6,17.8,,,,,,,,,,,,
2012,3,18.1,17.8,17.6,18,,,,,,,,,,,,
2013,3,18.11,17.9,17.7,18.1,,,,,,,,,,,,
2014,3,18.23,18,17.7,18.3,,,,,,,,,,,,
2015,3,18.21,18.1,17.8,18.5,,,,,,,,,,,,
2016,3,18.35,18.2,17.8,18.6,,,,,,,,,,,,
2017,3,18.35,18.3,17.8,18.8,,,,,,,,,,,,
2018,3,NA,18.4,17.9,18.9,,,,,,,,,,,,
2019,3,NA,18.4,17.9,19,,,,,,,,,,,,
2020,3,NA,18.5,17.9,19.2,,,,,,,,,,,,
2011,4,20.52,20,19.9,20,,,,,,,,,,,,
2012,4,20.64,20,19.9,20.2,,,,,,,,,,,,
2013,4,20.67,20.1,19.9,20.3,,,,,,,,,,,,
2014,4,20.83,20.1,19.9,20.4,,,,,,,,,,,,
2015,4,20.76,20.2,19.9,20.5,,,,,,,,,,,,
2016,4,20.94,20.3,19.9,20.6,,,,,,,,,,,,
2017,4,20.93,20.3,20,20.8,,,,,,,,,,,,
2018,4,NA,20.4,20,20.9,,,,,,,,,,,,
2019,4,NA,20.5,20,21,,,,,,,,,,,,
2020,4,NA,20.5,20,21.1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,